2026-07-20 06:08:02 | INFO | trading.strategy2_signal_filter:check:533 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': 'BUSDT', 'level': 0.2211, 'approach_count': 4, 'block_threshold': 4}
2026-07-20 06:08:07 | INFO | trading.strategy2_signal_filter:check:533 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': 'ESPORTSUSDT', 'level': 0.02098, 'approach_count': 4, 'block_threshold': 4}
2026-07-20 06:08:18 | INFO | trading.strategy2_signal_filter:check:533 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': 'BUSDT', 'level': 0.2211, 'approach_count': 4, 'block_threshold': 4}
2026-07-20 06:08:23 | INFO | trading.strategy2_signal_filter:check:533 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': 'ESPORTSUSDT', 'level': 0.02098, 'approach_count': 4, 'block_threshold': 4}
2026-07-20 06:08:33 | INFO | trading.strategy2_signal_filter:check:533 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': 'BUSDT', 'level': 0.2211, 'approach_count': 4, 'block_threshold': 4}
2026-07-20 06:08:38 | INFO | trading.strategy2_signal_filter:check:533 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': 'ESPORTSUSDT', 'level': 0.02098, 'approach_count': 4, 'block_threshold': 4}
2026-07-20 06:08:48 | INFO | trading.strategy2_signal_filter:check:533 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': 'BUSDT', 'level': 0.2211, 'approach_count': 4, 'block_threshold': 4}
2026-07-20 06:08:55 | INFO | __main__:_auto_screener_loop:306 | Auto screener completed | {'total': 3, 'new': 0}
2026-07-20 06:09:03 | INFO | trading.strategy2_signal_filter:check:533 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': 'BUSDT', 'level': 0.2211, 'approach_count': 4, 'block_threshold': 4}
2026-07-20 06:09:13 | INFO | trading.strategy2_signal_filter:check:533 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': 'ESPORTSUSDT', 'level': 0.02098, 'approach_count': 4, 'block_threshold': 4}
2026-07-20 06:09:18 | INFO | trading.strategy2_signal_filter:check:533 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': 'BUSDT', 'level': 0.2211, 'approach_count': 4, 'block_threshold': 4}
2026-07-20 06:09:28 | INFO | trading.strategy2_signal_filter:check:533 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': 'ESPORTSUSDT', 'level': 0.02098, 'approach_count': 4, 'block_threshold': 4}
2026-07-20 06:09:44 | INFO | trading.strategy2_signal_filter:check:533 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': 'ESPORTSUSDT', 'level': 0.02098, 'approach_count': 4, 'block_threshold': 4}
2026-07-20 06:09:49 | INFO | trading.strategy2_signal_filter:check:533 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': 'BUSDT', 'level': 0.2211, 'approach_count': 4, 'block_threshold': 4}
2026-07-20 06:09:59 | INFO | trading.strategy2_signal_filter:check:533 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': 'ESPORTSUSDT', 'level': 0.02098, 'approach_count': 4, 'block_threshold': 4}
2026-07-20 06:10:14 | INFO | trading.strategy2_signal_filter:check:533 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': 'ESPORTSUSDT', 'level': 0.02098, 'approach_count': 5, 'block_threshold': 4}
2026-07-20 06:10:24 | INFO | trading.strategy2_signal_filter:check:533 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': 'BUSDT', 'level': 0.2211, 'approach_count': 4, 'block_threshold': 4}
2026-07-20 06:10:29 | INFO | trading.strategy2_signal_filter:check:533 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': 'ESPORTSUSDT', 'level': 0.02098, 'approach_count': 5, 'block_threshold': 4}
2026-07-20 06:10:39 | INFO | trading.strategy2_signal_filter:check:533 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': 'BUSDT', 'level': 0.2211, 'approach_count': 4, 'block_threshold': 4}
2026-07-20 06:10:45 | INFO | trading.strategy2_signal_filter:check:533 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': 'ESPORTSUSDT', 'level': 0.02098, 'approach_count': 4, 'block_threshold': 4}
2026-07-20 06:10:55 | INFO | trading.strategy2_signal_filter:check:533 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': 'BUSDT', 'level': 0.2211, 'approach_count': 4, 'block_threshold': 4}
2026-07-20 06:11:00 | INFO | trading.strategy2_signal_filter:check:533 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': 'ESPORTSUSDT', 'level': 0.02098, 'approach_count': 5, 'block_threshold': 4}
2026-07-20 06:11:10 | INFO | analysis.monitor:start_monitor:126 | monitor: skip level with non-positive p_bounce (won't pass entry filter) | {'symbol': 'ESPORTSUSDT', 'level': 0.021351923076923077, 'level_type': 'wick_level', 'p_bounce': 0.0, 'expected_depth': 0.0}
2026-07-20 06:11:10 | INFO | __main__:_monitored:798 | Monitor cancelled | {'symbol': 'ESPORTSUSDT', 'level': 0.02098}
2026-07-20 06:11:10 | INFO | __main__:_start_resistance_after_bounce:1116 | Resistance monitor started | {'symbol': 'ESPORTSUSDT', 'resistance': 0.021351923076923077, 'from_support': 0.02098}
2026-07-20 06:11:10 | INFO | __main__:_monitored:787 | Level outcome saved | {'symbol': 'ESPORTSUSDT', 'level': 0.021351923076923077, 'result': 'отбой', 'outcome': None, 'duration': 0.0}
