2026-07-25 06:08:33 | INFO | trading.strategy2_signal_filter:check:533 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': 'VELVETUSDT', 'level': 0.4496, 'approach_count': 9, 'block_threshold': 4}
2026-07-25 06:08:48 | INFO | trading.strategy2_signal_filter:check:533 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': 'VELVETUSDT', 'level': 0.4496, 'approach_count': 9, 'block_threshold': 4}
2026-07-25 06:09:04 | INFO | trading.strategy2_signal_filter:check:533 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': 'VELVETUSDT', 'level': 0.4496, 'approach_count': 9, 'block_threshold': 4}
2026-07-25 06:09:19 | INFO | trading.strategy2_signal_filter:check:533 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': 'VELVETUSDT', 'level': 0.4496, 'approach_count': 8, 'block_threshold': 4}
2026-07-25 06:09:35 | INFO | trading.strategy2_signal_filter:check:533 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': 'VELVETUSDT', 'level': 0.4496, 'approach_count': 8, 'block_threshold': 4}
2026-07-25 06:09:50 | INFO | trading.strategy2_signal_filter:check:533 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': 'VELVETUSDT', 'level': 0.4496, 'approach_count': 8, 'block_threshold': 4}
2026-07-25 06:10:06 | INFO | trading.strategy2_signal_filter:check:533 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': 'GWEIUSDT', 'level': 0.027108, 'approach_count': 8, 'block_threshold': 4}
2026-07-25 06:10:06 | INFO | trading.strategy2_signal_filter:check:533 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': 'VELVETUSDT', 'level': 0.4496, 'approach_count': 9, 'block_threshold': 4}
2026-07-25 06:10:21 | INFO | trading.strategy2_signal_filter:check:533 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': 'GWEIUSDT', 'level': 0.027108, 'approach_count': 8, 'block_threshold': 4}
2026-07-25 06:10:21 | INFO | trading.strategy2_signal_filter:check:533 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': 'VELVETUSDT', 'level': 0.4496, 'approach_count': 8, 'block_threshold': 4}
2026-07-25 06:10:36 | INFO | trading.strategy2_signal_filter:check:533 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': 'VELVETUSDT', 'level': 0.4496, 'approach_count': 8, 'block_threshold': 4}
2026-07-25 06:10:47 | INFO | trading.strategy2_signal_filter:check:681 | S2 market phase | {'symbol': 'B2USDT', 'phase': 'unknown', 'note': 'unknown:range=13.5%,dir_eff=0.14'}
2026-07-25 06:10:52 | INFO | trading.strategy2_signal_filter:check:681 | S2 market phase | {'symbol': 'B2USDT', 'phase': 'unknown', 'note': 'unknown:range=13.5%,dir_eff=0.14'}
2026-07-25 06:10:52 | INFO | trading.strategy2_signal_filter:check:533 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': 'VELVETUSDT', 'level': 0.4496, 'approach_count': 8, 'block_threshold': 4}
