2026-07-23 16:04:32 | ERROR | trading.strategy2_live:_open_grid:657 | S2Live: failed to place limit order | {'symbol': 'ONUSDT', 'index': 1, 'price': 0.16, 'error': 'place_limit_order failed: retCode=110003 retMsg=price is invalid symbol=ONUSDT price=0.16 qty=608.71'}
2026-07-23 16:04:32 | ERROR | trading.strategy2_live:_open_grid:657 | S2Live: failed to place limit order | {'symbol': 'ONUSDT', 'index': 2, 'price': 0.16, 'error': 'place_limit_order failed: retCode=110003 retMsg=price is invalid symbol=ONUSDT price=0.16 qty=617.93'}
2026-07-23 16:04:37 | ERROR | trading.strategy2_live:_open_grid:657 | S2Live: failed to place limit order | {'symbol': 'ONUSDT', 'index': 1, 'price': 0.16, 'error': 'place_limit_order failed: retCode=110003 retMsg=price is invalid symbol=ONUSDT price=0.16 qty=608.71'}
2026-07-23 16:04:37 | ERROR | trading.strategy2_live:_open_grid:657 | S2Live: failed to place limit order | {'symbol': 'ONUSDT', 'index': 2, 'price': 0.16, 'error': 'place_limit_order failed: retCode=110003 retMsg=price is invalid symbol=ONUSDT price=0.16 qty=617.93'}
2026-07-23 16:04:42 | ERROR | trading.strategy2_live:_open_grid:657 | S2Live: failed to place limit order | {'symbol': 'ONUSDT', 'index': 1, 'price': 0.16, 'error': 'place_limit_order failed: retCode=110003 retMsg=price is invalid symbol=ONUSDT price=0.16 qty=608.71'}
2026-07-23 16:04:42 | ERROR | trading.strategy2_live:_open_grid:657 | S2Live: failed to place limit order | {'symbol': 'ONUSDT', 'index': 2, 'price': 0.16, 'error': 'place_limit_order failed: retCode=110003 retMsg=price is invalid symbol=ONUSDT price=0.16 qty=617.93'}
2026-07-23 16:04:47 | ERROR | trading.strategy2_live:_open_grid:657 | S2Live: failed to place limit order | {'symbol': 'ONUSDT', 'index': 1, 'price': 0.16, 'error': 'place_limit_order failed: retCode=110003 retMsg=price is invalid symbol=ONUSDT price=0.16 qty=608.71'}
2026-07-23 16:04:47 | ERROR | trading.strategy2_live:_open_grid:657 | S2Live: failed to place limit order | {'symbol': 'ONUSDT', 'index': 2, 'price': 0.16, 'error': 'place_limit_order failed: retCode=110003 retMsg=price is invalid symbol=ONUSDT price=0.16 qty=617.93'}
2026-07-23 16:04:52 | ERROR | trading.strategy2_live:_open_grid:657 | S2Live: failed to place limit order | {'symbol': 'ONUSDT', 'index': 1, 'price': 0.16, 'error': 'place_limit_order failed: retCode=110003 retMsg=price is invalid symbol=ONUSDT price=0.16 qty=608.71'}
2026-07-23 16:04:52 | ERROR | trading.strategy2_live:_open_grid:657 | S2Live: failed to place limit order | {'symbol': 'ONUSDT', 'index': 2, 'price': 0.16, 'error': 'place_limit_order failed: retCode=110003 retMsg=price is invalid symbol=ONUSDT price=0.16 qty=617.93'}
2026-07-23 16:04:57 | ERROR | trading.strategy2_live:_open_grid:657 | S2Live: failed to place limit order | {'symbol': 'ONUSDT', 'index': 1, 'price': 0.16, 'error': 'place_limit_order failed: retCode=110003 retMsg=price is invalid symbol=ONUSDT price=0.16 qty=608.71'}
2026-07-23 16:04:57 | ERROR | trading.strategy2_live:_open_grid:657 | S2Live: failed to place limit order | {'symbol': 'ONUSDT', 'index': 2, 'price': 0.16, 'error': 'place_limit_order failed: retCode=110003 retMsg=price is invalid symbol=ONUSDT price=0.16 qty=617.93'}
2026-07-23 16:05:02 | ERROR | trading.strategy2_live:_open_grid:657 | S2Live: failed to place limit order | {'symbol': 'ONUSDT', 'index': 1, 'price': 0.16, 'error': 'place_limit_order failed: retCode=110003 retMsg=price is invalid symbol=ONUSDT price=0.16 qty=608.71'}
2026-07-23 16:05:02 | ERROR | trading.strategy2_live:_open_grid:657 | S2Live: failed to place limit order | {'symbol': 'ONUSDT', 'index': 2, 'price': 0.16, 'error': 'place_limit_order failed: retCode=110003 retMsg=price is invalid symbol=ONUSDT price=0.16 qty=617.93'}
2026-07-23 16:05:07 | ERROR | trading.strategy2_live:_open_grid:657 | S2Live: failed to place limit order | {'symbol': 'ONUSDT', 'index': 1, 'price': 0.16, 'error': 'place_limit_order failed: retCode=110003 retMsg=price is invalid symbol=ONUSDT price=0.16 qty=608.71'}
2026-07-23 16:05:07 | ERROR | trading.strategy2_live:_open_grid:657 | S2Live: failed to place limit order | {'symbol': 'ONUSDT', 'index': 2, 'price': 0.16, 'error': 'place_limit_order failed: retCode=110003 retMsg=price is invalid symbol=ONUSDT price=0.16 qty=617.93'}
2026-07-23 16:07:30 | ERROR | trading.strategy2_live:_open_grid:657 | S2Live: failed to place limit order | {'symbol': 'ONUSDT', 'index': 1, 'price': 0.16, 'error': 'place_limit_order failed: retCode=110003 retMsg=price is invalid symbol=ONUSDT price=0.16 qty=608.71'}
2026-07-23 16:07:30 | ERROR | trading.strategy2_live:_open_grid:657 | S2Live: failed to place limit order | {'symbol': 'ONUSDT', 'index': 2, 'price': 0.16, 'error': 'place_limit_order failed: retCode=110003 retMsg=price is invalid symbol=ONUSDT price=0.16 qty=617.93'}
2026-07-23 16:07:35 | ERROR | trading.strategy2_live:_open_grid:657 | S2Live: failed to place limit order | {'symbol': 'ONUSDT', 'index': 1, 'price': 0.16, 'error': 'place_limit_order failed: retCode=110003 retMsg=price is invalid symbol=ONUSDT price=0.16 qty=608.71'}
2026-07-23 16:07:36 | ERROR | trading.strategy2_live:_open_grid:657 | S2Live: failed to place limit order | {'symbol': 'ONUSDT', 'index': 2, 'price': 0.16, 'error': 'place_limit_order failed: retCode=110003 retMsg=price is invalid symbol=ONUSDT price=0.16 qty=617.93'}
2026-07-23 16:07:56 | ERROR | trading.strategy2_live:_open_grid:657 | S2Live: failed to place limit order | {'symbol': 'ONUSDT', 'index': 1, 'price': 0.16, 'error': 'place_limit_order failed: retCode=110003 retMsg=price is invalid symbol=ONUSDT price=0.16 qty=608.71'}
2026-07-23 16:07:56 | ERROR | trading.strategy2_live:_open_grid:657 | S2Live: failed to place limit order | {'symbol': 'ONUSDT', 'index': 2, 'price': 0.16, 'error': 'place_limit_order failed: retCode=110003 retMsg=price is invalid symbol=ONUSDT price=0.16 qty=617.93'}
2026-07-23 16:08:01 | ERROR | trading.strategy2_live:_open_grid:657 | S2Live: failed to place limit order | {'symbol': 'ONUSDT', 'index': 1, 'price': 0.16, 'error': 'place_limit_order failed: retCode=110003 retMsg=price is invalid symbol=ONUSDT price=0.16 qty=608.71'}
2026-07-23 16:08:01 | ERROR | trading.strategy2_live:_open_grid:657 | S2Live: failed to place limit order | {'symbol': 'ONUSDT', 'index': 2, 'price': 0.16, 'error': 'place_limit_order failed: retCode=110003 retMsg=price is invalid symbol=ONUSDT price=0.16 qty=617.93'}
2026-07-23 16:08:06 | ERROR | trading.strategy2_live:_open_grid:657 | S2Live: failed to place limit order | {'symbol': 'ONUSDT', 'index': 1, 'price': 0.16, 'error': 'place_limit_order failed: retCode=110003 retMsg=price is invalid symbol=ONUSDT price=0.16 qty=608.71'}
2026-07-23 16:08:06 | ERROR | trading.strategy2_live:_open_grid:657 | S2Live: failed to place limit order | {'symbol': 'ONUSDT', 'index': 2, 'price': 0.16, 'error': 'place_limit_order failed: retCode=110003 retMsg=price is invalid symbol=ONUSDT price=0.16 qty=617.93'}
2026-07-23 16:08:11 | ERROR | trading.strategy2_live:_open_grid:657 | S2Live: failed to place limit order | {'symbol': 'ONUSDT', 'index': 1, 'price': 0.16, 'error': 'place_limit_order failed: retCode=110003 retMsg=price is invalid symbol=ONUSDT price=0.16 qty=608.71'}
2026-07-23 16:08:11 | ERROR | trading.strategy2_live:_open_grid:657 | S2Live: failed to place limit order | {'symbol': 'ONUSDT', 'index': 2, 'price': 0.16, 'error': 'place_limit_order failed: retCode=110003 retMsg=price is invalid symbol=ONUSDT price=0.16 qty=617.93'}
2026-07-23 16:08:16 | ERROR | trading.strategy2_live:_open_grid:657 | S2Live: failed to place limit order | {'symbol': 'ONUSDT', 'index': 1, 'price': 0.16, 'error': 'place_limit_order failed: retCode=110003 retMsg=price is invalid symbol=ONUSDT price=0.16 qty=608.71'}
2026-07-23 16:08:16 | ERROR | trading.strategy2_live:_open_grid:657 | S2Live: failed to place limit order | {'symbol': 'ONUSDT', 'index': 2, 'price': 0.16, 'error': 'place_limit_order failed: retCode=110003 retMsg=price is invalid symbol=ONUSDT price=0.16 qty=617.93'}
